programId,tagId,relevance
1,14,0.63808
1,13,0.86118
1,18,0.63988
1,8,0.917
1,6,0.80477
1,3,
2,16,0.6445
2,14,0.76701
2,1,0.88567
2,11,0.7868
2,17,0.82522
3,5,0.89965
3,16,0.62266
3,13,0.7326
4,19,0.88461
4,13,0.88221
4,9,0.71517
4,3,0.84423
4,15,0.60958
5,19,0.88998
5,2,0.80193
5,11,0.7639
5,9,0.73464
5,18,0.87999
6,13,0.73999
6,18,0.83825
6,12,0.61645
6,10,0.79308
6,5,0.81268
7,6,0.94644
7,3,0.86636
7,11,0.7581
8,16,0.65475
8,17,0.77502
8,15,0.8867
9,6,0.65541
9,20,0.82749
9,5,0.88166
9,3,0.64692
9,19,0.81123
10,16,0.68659
10,20,0.73525
10,15,0.94718
10,8,
10,4,0.76852
10,18,0.7819
11,20,0.6813
11,6,0.87707
11,8,0.71835
11,18,0.67507
11,14,0.70211
12,18,0.75506
12,7,0.82218
12,4,0.90501
12,15,0.69039
12,3,0.78279
13,17,0.93736
13,9,0.62297
13,10,0.71961
14,10,0.8926
14,3,0.72498
14,2,0.89684
14,20,0.92935
14,1,0.72089
15,6,0.94491
15,15,0.70242
15,16,0.94007
16,6,0.87308
16,9,0.63692
16,20,0.73974
16,15,0.82412
16,4,0.93913
16,8,0.71854
17,7,0.91174
17,14,0.60611
17,11,0.65092
17,20,0.83231
17,10,0.69453
17,17,0.78668
18,14,0.73332
18,18,0.72271
18,8,0.71045
18,12,0.93903
18,7,0.79577
18,15,0.84535
19,3,0.89577
19,13,0.62403
19,2,0.64476
19,1,0.85377
19,6,0.94536
20,17,0.62068
20,12,0.92108
20,3,0.7035
20,10,0.8765
21,7,0.85745
21,6,0.66769
21,19,0.77341
22,7,0.88365
22,3,0.93143
22,15,0.79008
22,11,0.79856
22,6,0.72158
23,20,0.73731
23,18,0.69871
23,5,0.75946
23,15,0.72383
23,6,
23,10,0.67092
24,7,0.60378
24,12,0.84167
24,16,0.881
24,19,0.75189
24,10,0.79467
25,4,0.62603
25,14,0.94792
25,19,0.65095
25,3,0.6764
26,10,0.83076
26,14,0.70441
26,12,0.61393
27,17,0.82428
27,18,0.72719
27,11,0.81425
27,10,0.90103
27,1,0.81074
28,7,0.65112
28,13,
28,1,0.6287
29,6,0.79873
29,9,0.65154
29,14,0.89508
29,8,0.88557
29,3,0.73415
29,2,0.8283
30,14,0.77188
30,13,0.69844
30,12,0.94936
31,18,0.71972
31,14,0.88768
31,17,0.94674
32,8,0.66713
32,19,0.92423
32,14,0.78568
32,16,0.90322
32,7,0.62756
33,5,0.80869
33,20,0.69265
33,10,0.89554
33,9,0.68649
33,13,0.93724
33,14,
34,9,0.60406
34,5,0.69318
34,18,
34,12,0.91081
35,15,0.68431
35,18,0.77097
35,1,0.66688
35,14,0.69558
35,9,0.866
35,17,0.7329
36,13,0.71529
36,10,0.84742
36,11,0.78742
36,6,0.72789
36,14,0.66254
36,1,0.88272
37,6,0.77513
37,7,0.93651
37,11,0.71735
37,18,0.76057
38,20,0.8207
38,7,0.82679
38,15,0.62006
38,14,0.74496
39,17,0.77975
39,5,0.6437
39,9,0.7378
39,13,0.86491
40,12,0.76193
40,19,0.72755
40,11,0.91158
40,14,0.62411
40,16,0.93402
41,11,0.79744
41,13,0.85328
41,20,
42,8,
42,14,0.87928
42,16,0.85551
42,20,0.84028
42,7,0.877
43,4,0.85541
43,16,0.85213
43,13,0.63982
43,3,
44,1,0.65212
44,19,
44,6,0.85926
45,10,0.86469
45,7,0.79146
45,9,0.65328
45,13,0.72492
45,6,
46,11,0.62026
46,17,0.7889
46,12,0.74635
46,16,0.63365
47,9,
47,1,0.78507
47,3,0.80276
47,12,0.89297
47,6,0.91598
48,2,0.81168
48,1,0.78934
48,20,0.68056
48,12,0.65901
48,8,0.62716
49,19,0.90035
49,7,0.83741
49,17,0.7722
49,13,0.88319
49,6,0.70511
50,9,0.9161
50,8,
50,18,0.87502
51,20,0.82935
51,3,0.80393
51,10,0.85532
51,4,0.92423
51,15,0.86235
51,1,0.78248
52,4,0.64023
52,5,0.70782
52,8,0.94168
52,19,0.62516
52,14,0.65389
53,14,0.77108
53,2,0.88519
53,15,0.82772
53,13,0.86868
53,16,0.89273
54,19,0.82059
54,6,0.8968
54,3,0.8459
54,1,0.69535
55,1,0.74062
55,2,0.62746
55,20,0.81921
55,4,0.65298
56,8,0.65815
56,16,0.79629
56,15,0.62626
56,6,0.71354
56,13,0.68974
56,20,0.75021
57,13,0.93234
57,11,0.85191
57,18,0.92426
57,2,0.66383
57,17,0.75904
58,2,0.9263
58,5,0.75912
58,9,0.85903
58,16,0.72739
58,13,0.71689
58,3,0.79904
59,15,0.61749
59,13,0.62064
59,14,0.72411
59,7,0.67902
59,18,0.79742
60,8,0.73294
60,6,0.82277
60,2,0.67234
61,5,0.64136
61,12,0.7955
61,17,0.78599
62,6,0.78881
62,10,0.64979
62,19,0.80975
62,8,0.83375
63,3,0.80065
63,9,0.8406
63,10,0.75852
64,16,0.80368
64,5,0.71468
64,7,0.69922
65,12,0.84592
65,17,0.74053
65,20,0.76967
65,18,0.63441
65,16,0.69328
66,11,0.6865
66,1,0.63131
66,3,0.83789
66,12,0.61913
66,16,0.75073
66,8,0.73081
67,5,0.89291
67,9,0.72428
67,16,0.71315
67,20,0.60495
67,18,0.64104
67,17,0.69251
68,16,0.65106
68,2,0.88429
68,5,0.81352
68,9,0.75107
68,1,0.64082
68,19,0.60761
69,13,0.94417
69,19,0.92132
69,12,0.61602
69,16,0.7026
70,20,0.6664
70,16,0.94408
70,15,0.81351
71,5,0.84076
71,4,0.75341
71,12,0.77934
72,16,0.87751
72,13,0.84214
72,12,0.87852
72,18,0.81018
72,14,0.74233
73,14,0.76476
73,12,0.62619
73,3,0.83559
73,17,0.73163
74,7,0.93003
74,17,0.80045
74,18,0.66356
75,3,0.80627
75,14,0.67395
75,2,0.69685
76,7,0.87931
76,16,0.76999
76,14,
76,3,0.90188
77,14,0.84196
77,18,0.68401
77,7,0.67872
77,1,0.78381
77,13,0.64402
78,1,0.84442
78,2,0.63388
78,19,0.6615
78,12,0.76861
79,3,0.94395
79,12,0.874
79,5,0.78025
80,13,0.78138
80,5,0.82385
80,8,0.73733
80,14,0.65367
81,6,0.86554
81,18,0.93499
81,9,0.87217
81,19,0.61848
81,14,0.93168
82,14,0.94337
82,18,0.86344
82,16,0.89049
82,12,0.68041
83,10,0.89847
83,13,0.9095
83,6,0.94249
84,5,0.80323
84,10,0.77272
84,14,0.86456
84,17,0.65278
84,19,0.69486
85,15,0.70537
85,19,0.80754
85,12,0.70135
85,6,0.81935
85,18,0.9165
86,16,0.66224
86,9,0.74327
86,11,0.68013
87,12,0.89639
87,13,0.9299
87,3,0.72278
87,14,0.93854
88,3,0.62448
88,4,0.70134
88,5,0.66031
88,2,0.71361
88,14,
89,19,0.93379
89,8,0.69308
89,6,0.76272
89,20,0.60367
90,18,0.78493
90,6,0.81783
90,3,0.9147
91,11,0.63816
91,16,0.81783
91,13,0.71984
91,8,
91,15,0.80811
92,19,
92,4,0.8855
92,2,
92,17,0.6215
92,20,0.79164
93,17,0.6622
93,11,0.67127
93,3,0.89619
93,7,0.82604
93,13,0.87973
93,10,0.81588
94,11,0.92074
94,3,0.80933
94,19,0.61845
95,8,0.80951
95,11,0.88128
95,16,0.62375
95,12,0.78702
95,14,0.66541
95,10,0.68099
96,1,0.94955
96,19,0.74686
96,9,0.66076
97,18,0.61712
97,11,0.90864
97,19,0.88409
97,8,0.87445
98,2,0.664
98,16,0.6365
98,4,0.82909
98,5,0.70838
98,14,0.64657
99,20,0.6088
99,8,0.76965
99,12,0.83436
99,1,0.60092
100,9,0.81888
100,3,0.82616
100,1,0.62983
100,6,0.83233
100,8,0.69348
